Model,MAE,RMSE,R2
Linear Regression,21538.154680241852,27135.52426096984,0.8409738291694537
Random Forest,12286.45276048902,16104.615766844716,0.9439864750530425
Gradient Boosting,14398.419345234,18573.454139644815,0.9254963543925446
