datetime,demand_mw,coal_mw,gas_mw,nuclear_mw,hydro_mw,solar_mw,wind_mw,petroleum_mw,other_mw
2015-07-03 17:00:00+00:00,487268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 18:00:00+00:00,504422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 19:00:00+00:00,518545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 20:00:00+00:00,528781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 21:00:00+00:00,536381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 22:00:00+00:00,539823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03 23:00:00+00:00,534988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 00:00:00+00:00,523996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 01:00:00+00:00,510066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 02:00:00+00:00,500554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 03:00:00+00:00,482726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 04:00:00+00:00,455366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 05:00:00+00:00,428928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 06:00:00+00:00,403685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 07:00:00+00:00,384331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 08:00:00+00:00,373639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 09:00:00+00:00,363002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 10:00:00+00:00,357789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 11:00:00+00:00,355088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 12:00:00+00:00,356956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 13:00:00+00:00,371087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 14:00:00+00:00,396040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 15:00:00+00:00,423956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 16:00:00+00:00,450542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 17:00:00+00:00,472985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 18:00:00+00:00,490561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 19:00:00+00:00,502921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 20:00:00+00:00,512645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 21:00:00+00:00,519700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 22:00:00+00:00,521413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04 23:00:00+00:00,515522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 00:00:00+00:00,501977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 01:00:00+00:00,482706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 02:00:00+00:00,469315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 03:00:00+00:00,454492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 04:00:00+00:00,436638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 05:00:00+00:00,414372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 06:00:00+00:00,391943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 07:00:00+00:00,374853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 08:00:00+00:00,366221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 09:00:00+00:00,357581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 10:00:00+00:00,352403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 11:00:00+00:00,348599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 12:00:00+00:00,351157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 13:00:00+00:00,368197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 14:00:00+00:00,393860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 15:00:00+00:00,423719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 16:00:00+00:00,452969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 17:00:00+00:00,480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 18:00:00+00:00,503990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 19:00:00+00:00,521951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 20:00:00+00:00,535678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 21:00:00+00:00,545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 22:00:00+00:00,550003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05 23:00:00+00:00,547755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 00:00:00+00:00,538399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 01:00:00+00:00,524023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 02:00:00+00:00,515913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 03:00:00+00:00,497970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 04:00:00+00:00,467812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 05:00:00+00:00,438224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 06:00:00+00:00,414590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 07:00:00+00:00,395547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 08:00:00+00:00,386688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 09:00:00+00:00,380838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 10:00:00+00:00,385464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 11:00:00+00:00,398533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 12:00:00+00:00,420832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 13:00:00+00:00,446871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 14:00:00+00:00,474788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 15:00:00+00:00,506007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 16:00:00+00:00,536868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 17:00:00+00:00,563797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
